Datum,S_Grondstof,S_Container,S_Liter,V_Aantal,S_Order_Count,S_Customer_Count,S_Country_Reach,S_City_Reach,S_Main_City,S_Main_Customer,S_Main_Country,V_Product_Name,V_Business_Name,V_Storage_Location,E_Event_Name,V_Type,temp_mean,rain_mm
2023-09-29,Hoop Lager,Keg 50L,0.0,0.0,0,0,0,0,,,,,,,,,16.6,1.6
2023-09-30,Hoop Bleke Nelis,Giftset,0.0,0.0,0,0,0,0,,,,,,,,,15.1,0.1
2023-09-30,Hoop Bleke Nelis,Bottle 33cl,0.0,0.0,0,0,0,0,,,,,,,,,15.1,0.1
2023-09-30,Hoop Bleke Nelis,Can 33cl,0.0,0.0,0,0,0,0,,,,,,,,,15.1,0.1
2023-09-30,Hoop Bleke Nelis,Keg 20L,0.0,0.0,0,0,0,0,,,,,,,,,15.1,0.1
2023-09-30,Hoop Bleke Nelis,Bottle 75cl,0.0,0.0,0,0,0,0,,,,,,,,,15.1,0.1
2023-09-30,Hoop Bleke Nelis,Other,0.0,0.0,0,0,0,0,,,,,,,,,15.1,0.1
2023-09-30,Hoop Bleke Nelis,Keg 50L,0.0,0.0,0,0,0,0,,,,,,,,,15.1,0.1
2023-09-30,Hoop Kaper Tropical IPA,Giftset,0.0,0.0,0,0,0,0,,,,,,,,,15.1,0.1
2023-09-30,Hoop Kaper Tropical IPA,Bottle 33cl,0.0,0.0,0,0,0,0,,,,,,,,,15.1,0.1
2023-09-30,Hoop Kaper Tropical IPA,Can 33cl,0.0,0.0,0,0,0,0,,,,,,,,,15.1,0.1
2023-09-30,Hoop Kaper Tropical IPA,Keg 20L,0.0,0.0,0,0,0,0,,,,,,,,,15.1,0.1
2023-09-30,Hoop Kaper Tropical IPA,Bottle 75cl,0.0,0.0,0,0,0,0,,,,,,,,,15.1,0.1
2023-09-30,Hoop Kaper Tropical IPA,Other,0.0,0.0,0,0,0,0,,,,,,,,,15.1,0.1
2023-09-30,Hoop Kaper Tropical IPA,Keg 50L,0.0,0.0,0,0,0,0,,,,,,,,,15.1,0.1
2023-09-30,Hoop Lager,Giftset,0.0,0.0,0,0,0,0,,,,,,,,,15.1,0.1
2023-09-30,Hoop Lager,Bottle 33cl,0.0,0.0,0,0,0,0,,,,,,,,,15.1,0.1
2023-09-30,Hoop Lager,Can 33cl,0.0,0.0,0,0,0,0,,,,,,,,,15.1,0.1
2023-09-30,Hoop Lager,Keg 20L,0.0,0.0,0,0,0,0,,,,,,,,,15.1,0.1
2023-09-30,Hoop Lager,Bottle 75cl,0.0,0.0,0,0,0,0,,,,,,,,,15.1,0.1
2023-09-30,Hoop Lager,Other,0.0,0.0,0,0,0,0,,,,,,,,,15.1,0.1
2023-09-30,Hoop Lager,Keg 50L,0.0,0.0,0,0,0,0,,,,,,,,,15.1,0.1
2023-10-01,Hoop Bleke Nelis,Giftset,0.0,0.0,0,0,0,0,,,,,,,,,17.2,0.0
2023-10-01,Hoop Bleke Nelis,Bottle 33cl,0.0,0.0,0,0,0,0,,,,,,,,,17.2,0.0
2023-10-01,Hoop Bleke Nelis,Can 33cl,0.0,0.0,0,0,0,0,,,,,,,,,17.2,0.0
2023-10-01,Hoop Bleke Nelis,Keg 20L,0.0,0.0,0,0,0,0,,,,,,,,,17.2,0.0
2023-10-01,Hoop Bleke Nelis,Bottle 75cl,0.0,0.0,0,0,0,0,,,,,,,,,17.2,0.0
2023-10-01,Hoop Bleke Nelis,Other,0.0,0.0,0,0,0,0,,,,,,,,,17.2,0.0
2023-10-01,Hoop Bleke Nelis,Keg 50L,0.0,0.0,0,0,0,0,,,,,,,,,17.2,0.0
2023-10-01,Hoop Kaper Tropical IPA,Giftset,0.0,0.0,0,0,0,0,,,,,,,,,17.2,0.0
2023-10-01,Hoop Kaper Tropical IPA,Bottle 33cl,0.0,0.0,0,0,0,0,,,,,,,,,17.2,0.0
2023-10-01,Hoop Kaper Tropical IPA,Can 33cl,0.0,0.0,0,0,0,0,,,,,,,,,17.2,0.0
2023-10-01,Hoop Kaper Tropical IPA,Keg 20L,0.0,0.0,0,0,0,0,,,,,,,,,17.2,0.0
2023-10-01,Hoop Kaper Tropical IPA,Bottle 75cl,0.0,0.0,0,0,0,0,,,,,,,,,17.2,0.0
2023-10-01,Hoop Kaper Tropical IPA,Other,0.0,0.0,0,0,0,0,,,,,,,,,17.2,0.0
2023-10-01,Hoop Kaper Tropical IPA,Keg 50L,0.0,0.0,0,0,0,0,,,,,,,,,17.2,0.0
2023-10-01,Hoop Lager,Giftset,0.0,0.0,0,0,0,0,,,,,,,,,17.2,0.0
2023-10-01,Hoop Lager,Bottle 33cl,0.0,0.0,0,0,0,0,,,,,,,,,17.2,0.0
2023-10-01,Hoop Lager,Can 33cl,0.0,0.0,0,0,0,0,,,,,,,,,17.2,0.0
2023-10-01,Hoop Lager,Keg 20L,0.0,0.0,0,0,0,0,,,,,,,,,17.2,0.0
