Factuurnummer,Factuurdatum,Identificatienummer,Naam,Commerciële naam,Bedrijfscategorieën,Vertegenwoordiger,Land,Stad,Prijsklasse,Artikelnummer,Naam product,Productcategorieën,Aantal,Grondstof,Liter
202500908,14/11/2025,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,8,Hoop Bleke Nelis,13.2
202500909,14/11/2025,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,57,"Hoop Seasonal Summer Session IPA doos 12fles/0,33l","Bier in fles, Seasonal",3,Hoop Kaper Tropical - Summer Session IPA,11.88
202500910,14/11/2025,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,148,Hoop US Lager rvs 20L,"Bier in RVS fust, Kern",1,Hoop US Lager,20.0
202500910,14/11/2025,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,514,Hoop Bleke Nelis KU 20L,"Bier in KU fust, Kern",1,Hoop Bleke Nelis,20.0
202500911,14/11/2025,662,Family Village B.V.,Family Village B.V.,"Restaurant, Zaanstreek",Sjors Sombroek,Nederland,Zaandam,Standaard prijs,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",1,Hoop Bleke Nelis,3.96
202500911,14/11/2025,662,Family Village B.V.,Family Village B.V.,"Restaurant, Zaanstreek",Sjors Sombroek,Nederland,Zaandam,Standaard prijs,480,"Hoop Kaper Tropical IPA doos 12fles/0,33l","Bier in fles, Kern",1,Hoop Kaper Tropical - Summer Session IPA,3.96
202500916,19/11/2025,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",4,Hoop Bleke Nelis,15.84
202500916,19/11/2025,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,480,"Hoop Kaper Tropical IPA doos 12fles/0,33l","Bier in fles, Kern",3,Hoop Kaper Tropical - Summer Session IPA,11.88
202500916,19/11/2025,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,57,"Hoop Seasonal Summer Session IPA doos 12fles/0,33l","Bier in fles, Seasonal",1,Hoop Kaper Tropical - Summer Session IPA,3.96
202500916,19/11/2025,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,1,Hoop Bleke Nelis,1.65
202500917,19/11/2025,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,514,Hoop Bleke Nelis KU 20L,"Bier in KU fust, Kern",2,Hoop Bleke Nelis,40.0
202500917,19/11/2025,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,534,Hoop Kaper Tropical  IPA KU 20L,"Bier in KU fust, Kern",1,Hoop Kaper Tropical - Summer Session IPA,20.0
202500917,19/11/2025,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,148,Hoop US Lager rvs 20L,"Bier in RVS fust, Kern",1,Hoop US Lager,20.0
