date,temp_mean,rain_mm
2023-06-24,20.2,0.0
2023-06-25,23.4,0.0
2023-06-26,19.1,0.2
2023-06-27,16.9,0.0
2023-06-28,17.9,2.4
2023-06-29,18.0,1.4
2023-06-30,16.5,0.9
2023-07-01,17.4,9.3
2023-07-02,16.8,0.5
2023-07-03,16.2,2.4
2023-07-04,16.2,0.6
2023-07-05,14.4,37.9
2023-07-06,16.4,1.3
2023-07-07,20.0,0.0
2023-07-08,23.9,0.0
2023-07-09,21.5,4.5
2023-07-10,19.3,0.1
2023-07-11,20.2,2.4
2023-07-12,17.7,3.9
2023-07-13,17.3,3.0
2023-07-14,18.5,0.2
2023-07-15,21.0,1.2
2023-07-16,18.3,0.8
2023-07-17,17.1,7.6
2023-07-18,17.8,0.3
2023-07-19,17.3,4.0
2023-07-20,16.3,0.6
2023-07-21,15.2,1.7
2023-07-22,15.6,6.1
2023-07-23,17.4,4.3
2023-07-24,17.3,5.0
2023-07-25,14.7,0.6
2023-07-26,15.2,3.1
2023-07-27,16.8,14.8
2023-07-28,19.1,3.0
2023-07-29,18.6,1.7
2023-07-30,17.6,4.4
2023-07-31,17.7,19.6
2023-08-01,16.6,4.6
2023-08-02,16.8,10.8
2023-08-03,16.6,11.6
2023-08-04,16.2,4.6
2023-08-05,15.1,4.0
2023-08-06,14.5,7.3
2023-08-07,15.2,5.4
2023-08-08,15.6,3.2
2023-08-09,15.3,0.3
2023-08-10,17.5,0.0
2023-08-11,19.5,0.0
2023-08-12,19.2,3.8
2023-08-13,18.5,1.0
2023-08-14,19.3,0.0
2023-08-15,18.6,0.3
2023-08-16,17.4,0.0
2023-08-17,18.3,0.2
2023-08-18,20.1,0.2
2023-08-19,21.3,3.9
2023-08-20,18.8,0.0
2023-08-21,18.4,0.1
2023-08-22,18.0,0.0
2023-08-23,18.6,0.0
2023-08-24,19.2,4.7
2023-08-25,19.0,5.4
2023-08-26,15.8,2.7
2023-08-27,14.8,3.4
2023-08-28,15.7,0.9
2023-08-29,15.3,1.1
2023-08-30,14.2,14.0
2023-08-31,14.7,5.1
2023-09-01,15.5,1.9
2023-09-02,17.2,0.6
2023-09-03,17.0,0.0
2023-09-04,18.0,0.0
2023-09-05,20.8,0.0
2023-09-06,21.8,0.0
2023-09-07,21.7,0.0
2023-09-08,21.5,0.0
2023-09-09,21.5,0.0
2023-09-10,23.6,0.0
2023-09-11,21.6,0.0
2023-09-12,19.8,6.6
2023-09-13,16.9,2.8
2023-09-14,15.4,0.0
2023-09-15,16.3,0.0
2023-09-16,17.7,0.0
2023-09-17,18.0,2.9
2023-09-18,18.5,9.3
2023-09-19,16.4,4.8
2023-09-20,18.4,1.6
2023-09-21,16.7,20.9
2023-09-22,13.3,5.2
2023-09-23,13.4,5.5
2023-09-24,14.3,0.0
2023-09-25,15.9,0.0
2023-09-26,16.8,0.0
2023-09-27,17.7,0.0
2023-09-28,17.8,0.2
2023-09-29,16.6,1.6
2023-09-30,15.1,0.1
2023-10-01,17.2,0.0
2023-10-02,18.5,0.0
2023-10-03,16.7,2.6
2023-10-04,15.4,0.5
2023-10-05,16.0,0.3
2023-10-06,16.6,0.0
2023-10-07,18.2,0.0
2023-10-08,16.1,0.0
2023-10-09,17.2,0.0
2023-10-10,17.0,0.0
2023-10-11,17.7,3.5
2023-10-12,14.6,36.0
2023-10-13,17.8,14.0
2023-10-14,12.2,4.2
2023-10-15,8.6,5.3
2023-10-16,9.2,1.0
2023-10-17,8.5,0.0
2023-10-18,8.7,2.7
2023-10-19,14.2,8.1
2023-10-20,11.0,21.1
2023-10-21,12.9,5.9
2023-10-22,12.4,2.6
2023-10-23,10.1,1.6
2023-10-24,11.5,8.3
2023-10-25,9.9,9.1
2023-10-26,8.7,1.1
2023-10-27,9.9,13.3
2023-10-28,10.4,3.0
2023-10-29,12.2,12.9
2023-10-30,11.2,3.5
2023-10-31,10.9,16.2
2023-11-01,11.4,8.0
2023-11-02,10.3,10.3
2023-11-03,10.0,12.1
2023-11-04,8.6,4.4
2023-11-05,9.5,4.9
2023-11-06,9.7,3.0
2023-11-07,9.5,4.6
2023-11-08,9.2,7.5
2023-11-09,9.5,11.3
2023-11-10,7.3,5.9
2023-11-11,7.5,1.6
2023-11-12,6.2,0.0
2023-11-13,9.2,9.5
2023-11-14,11.6,6.7
2023-11-15,10.1,4.1
2023-11-16,7.1,0.3
2023-11-17,5.1,1.1
2023-11-18,7.3,10.7
2023-11-19,12.5,6.0
2023-11-20,10.3,2.2
2023-11-21,8.1,0.3
2023-11-22,4.9,0.3
2023-11-23,11.7,0.7
2023-11-24,7.2,2.8
2023-11-25,6.1,0.8
2023-11-26,5.5,1.9
2023-11-27,4.4,17.6
2023-11-28,2.5,2.9
2023-11-29,2.7,6.2
2023-11-30,-0.9,1.2
2023-12-01,-1.3,0.0
2023-12-02,-1.3,0.6
2023-12-03,0.1,2.2
2023-12-04,1.9,3.7
2023-12-05,1.6,1.1
2023-12-06,3.0,0.1
2023-12-07,0.2,0.0
2023-12-08,4.5,2.0
2023-12-09,7.3,15.4
2023-12-10,9.3,9.7
2023-12-11,8.7,4.3
2023-12-12,7.1,4.5
2023-12-13,7.1,1.4
2023-12-14,5.1,0.2
2023-12-15,6.9,0.5
2023-12-16,8.4,0.0
2023-12-17,9.0,0.0
2023-12-18,8.8,0.0
2023-12-19,9.6,25.0
2023-12-20,8.2,2.2
2023-12-21,9.9,4.7
2023-12-22,7.8,7.1
2023-12-23,9.3,2.5
2023-12-24,11.0,8.2
2023-12-25,10.7,9.6
2023-12-26,8.2,7.7
2023-12-27,6.3,4.6
2023-12-28,10.6,0.9
2023-12-29,9.2,6.8
2023-12-30,7.9,0.3
2023-12-31,8.6,4.1
2024-01-01,7.3,4.8
2024-01-02,9.7,19.8
2024-01-03,8.8,4.9
2024-01-04,6.8,5.2
2024-01-05,6.5,6.3
2024-01-06,3.8,0.0
2024-01-07,0.5,0.6
2024-01-08,-1.0,0.2
2024-01-09,-3.0,0.0
2024-01-10,-2.9,0.0
2024-01-11,-1.4,0.0
2024-01-12,1.9,0.0
2024-01-13,3.9,0.2
2024-01-14,3.1,3.9
2024-01-15,2.3,2.9
